Year,variable,value
2002,Documentary,8.0
2003,Documentary,26.0
2004,Documentary,3.0
2005,Documentary,37.0
2006,Documentary,17.0
2007,Documentary,9.0
2008,Documentary,0.0
2009,Documentary,5.0
2010,Documentary,7.0
2011,Documentary,0.0
2012,Documentary,0.0
2013,Documentary,1.0
2014,Documentary,0.0
2015,Documentary,0.0
2016,Documentary,67.0
2017,Documentary,0.0
2018,Documentary,5.0
2019,Documentary,29.0
2002,Animation,3.6666666666666665
2003,Animation,0.0
2004,Animation,3.3333333333333335
2005,Animation,8.666666666666666
2006,Animation,25.0
2007,Animation,10.333333333333334
2008,Animation,0.0
2009,Animation,2.0
2010,Animation,0.0
2011,Animation,61.0
2012,Animation,0.0
2013,Animation,0.0
2014,Animation,0.0
2015,Animation,0.0
2016,Animation,0.0
2017,Animation,0.0
2018,Animation,0.0
2019,Animation,1.0
2002,Action,30.176470588235293
2003,Action,31.916666666666668
2004,Action,25.3
2005,Action,22.428571428571427
2006,Action,33.0
2007,Action,23.272727272727273
2008,Action,30.875
2009,Action,17.636363636363637
2010,Action,20.0
2011,Action,15.666666666666666
2012,Action,17.636363636363637
2013,Action,30.2
2014,Action,40.9
2015,Action,20.142857142857142
2016,Action,71.88888888888889
2017,Action,14.0
2018,Action,43.75
2019,Action,28.75
2002,Adventure,16.272727272727273
2003,Adventure,22.8
2004,Adventure,11.0
2005,Adventure,20.666666666666668
2006,Adventure,28.285714285714285
2007,Adventure,9.6
2008,Adventure,13.25
2009,Adventure,21.25
2010,Adventure,20.333333333333332
2011,Adventure,25.0
2012,Adventure,29.5
2013,Adventure,34.0
2014,Adventure,80.0
2015,Adventure,10.666666666666666
2016,Adventure,42.5
2017,Adventure,10.666666666666666
2018,Adventure,0.0
2019,Adventure,3.0
2002,Biography,36.333333333333336
2003,Biography,54.25
2004,Biography,129.66666666666666
2005,Biography,53.0
2006,Biography,57.0
2007,Biography,120.0
2008,Biography,115.0
2009,Biography,54.6
2010,Biography,42.6
2011,Biography,15.5
2012,Biography,131.5
2013,Biography,69.28571428571429
2014,Biography,93.16666666666667
2015,Biography,51.75
2016,Biography,45.4
2017,Biography,61.45454545454545
2018,Biography,90.85714285714286
2019,Biography,132.0
2002,Comedy,25.548387096774192
2003,Comedy,21.96875
2004,Comedy,31.0
2005,Comedy,31.0
2006,Comedy,30.125
2007,Comedy,22.666666666666668
2008,Comedy,27.615384615384617
2009,Comedy,22.130434782608695
2010,Comedy,16.76923076923077
2011,Comedy,42.30769230769231
2012,Comedy,21.88888888888889
2013,Comedy,22.1
2014,Comedy,26.176470588235293
2015,Comedy,17.736842105263158
2016,Comedy,69.18181818181819
2017,Comedy,36.0
2018,Comedy,66.91666666666667
2019,Comedy,108.42857142857143
2002,Crime,49.08695652173913
2003,Crime,46.705882352941174
2004,Crime,37.9
2005,Crime,47.18181818181818
2006,Crime,59.0
2007,Crime,46.588235294117645
2008,Crime,19.90909090909091
2009,Crime,22.666666666666668
2010,Crime,29.8
2011,Crime,28.75
2012,Crime,45.357142857142854
2013,Crime,53.357142857142854
2014,Crime,43.22222222222222
2015,Crime,45.5
2016,Crime,73.33333333333333
2017,Crime,50.125
2018,Crime,49.3125
2019,Crime,36.666666666666664
2002,Drama,33.54054054054054
2003,Drama,46.30434782608695
2004,Drama,36.88461538461539
2005,Drama,32.73913043478261
2006,Drama,54.68571428571428
2007,Drama,32.54545454545455
2008,Drama,45.77777777777778
2009,Drama,33.08
2010,Drama,27.04
2011,Drama,63.583333333333336
2012,Drama,65.08333333333333
2013,Drama,58.35
2014,Drama,54.78260869565217
2015,Drama,36.142857142857146
2016,Drama,32.04761904761905
2017,Drama,58.28
2018,Drama,44.76
2019,Drama,107.0
2002,Family,8.8
2003,Family,11.8
2004,Family,4.0
2005,Family,14.666666666666666
2006,Family,18.4
2007,Family,3.6666666666666665
2008,Family,0.0
2009,Family,2.0
2010,Family,7.666666666666667
2011,Family,31.5
2012,Family,2.0
2013,Family,0.0
2014,Family,0.0
2015,Family,0.0
2016,Family,0.0
2017,Family,0.0
2018,Family,0.0
2019,Family,1.0
2002,Fantasy,9.333333333333334
2003,Fantasy,2.3333333333333335
2004,Fantasy,4.333333333333333
2005,Fantasy,38.666666666666664
2006,Fantasy,27.333333333333332
2007,Fantasy,25.666666666666668
2008,Fantasy,51.0
2009,Fantasy,3.5
2010,Fantasy,22.333333333333332
2011,Fantasy,18.0
2012,Fantasy,15.5
2013,Fantasy,2.0
2014,Fantasy,1.0
2015,Fantasy,14.666666666666666
2016,Fantasy,17.0
2017,Fantasy,7.0
2018,Fantasy,17.0
2019,Fantasy,1.5
2002,Sci-Fi,15.88888888888889
2003,Sci-Fi,58.0
2004,Sci-Fi,18.4
2005,Sci-Fi,6.333333333333333
2006,Sci-Fi,25.25
2007,Sci-Fi,8.75
2008,Sci-Fi,31.0
2009,Sci-Fi,9.5
2010,Sci-Fi,20.5
2011,Sci-Fi,17.666666666666668
2012,Sci-Fi,34.0
2013,Sci-Fi,22.2
2014,Sci-Fi,58.0
2015,Sci-Fi,4.166666666666667
2016,Sci-Fi,1.0
2017,Sci-Fi,22.0
2018,Sci-Fi,22.666666666666668
2019,Sci-Fi,33.5
2002,History,22.0
2003,History,59.0
2004,History,22.0
2005,History,45.0
2006,History,81.5
2007,History,109.0
2008,History,62.333333333333336
2009,History,58.0
2010,History,0.0
2011,History,14.0
2012,History,102.0
2013,History,5.0
2014,History,8.0
2015,History,79.66666666666667
2016,History,29.25
2017,History,172.66666666666666
2018,History,20.0
2019,History,80.5
2002,Horror,22.5
2003,Horror,3.3333333333333335
2004,Horror,18.333333333333332
2005,Horror,28.0
2006,Horror,9.5
2007,Horror,28.75
2008,Horror,4.0
2009,Horror,17.333333333333332
2010,Horror,27.0
2011,Horror,1.0
2012,Horror,18.5
2013,Horror,3.6666666666666665
2014,Horror,19.666666666666668
2015,Horror,5.75
2016,Horror,9.8
2017,Horror,8.5
2018,Horror,8.333333333333334
2019,Horror,11.5
2002,Music,37.2
2003,Music,31.666666666666668
2004,Music,77.5
2005,Music,47.285714285714285
2006,Music,106.83333333333333
2007,Music,26.6
2008,Music,65.0
2009,Music,62.0
2010,Music,21.0
2011,Music,0.0
2012,Music,36.0
2013,Music,41.5
2014,Music,131.75
2015,Music,43.0
2016,Music,2.0
2017,Music,137.5
2018,Music,134.0
2019,Music,0.0
2002,Musical,61.5
2003,Musical,0.0
2004,Musical,0.0
2005,Musical,32.5
2006,Musical,150.0
2007,Musical,72.0
2008,Musical,4.0
2009,Musical,0.0
2010,Musical,26.0
2011,Musical,0.0
2012,Musical,1.0
2013,Musical,0.0
2014,Musical,329.0
2015,Musical,0.0
2016,Musical,2.0
2017,Musical,0.0
2018,Musical,0.0
2019,Musical,0.0
2002,Mystery,29.833333333333332
2003,Mystery,25.2
2004,Mystery,14.428571428571429
2005,Mystery,26.8
2006,Mystery,25.4
2007,Mystery,30.428571428571427
2008,Mystery,17.5
2009,Mystery,17.8
2010,Mystery,39.285714285714285
2011,Mystery,40.25
2012,Mystery,13.0
2013,Mystery,10.0
2014,Mystery,18.11111111111111
2015,Mystery,19.0
2016,Mystery,95.2
2017,Mystery,16.166666666666668
2018,Mystery,54.166666666666664
2019,Mystery,3.0
2002,News,0.0
2003,News,0.0
2004,News,0.0
2005,News,0.0
2006,News,0.0
2007,News,0.0
2008,News,0.0
2009,News,3.0
2010,News,0.0
2011,News,0.0
2012,News,0.0
2013,News,0.0
2014,News,0.0
2015,News,0.0
2016,News,0.0
2017,News,0.0
2018,News,0.0
2019,News,0.0
2002,Reality-TV,0.0
2003,Reality-TV,0.0
2004,Reality-TV,0.0
2005,Reality-TV,0.0
2006,Reality-TV,0.0
2007,Reality-TV,0.0
2008,Reality-TV,0.0
2009,Reality-TV,0.0
2010,Reality-TV,0.0
2011,Reality-TV,0.0
2012,Reality-TV,0.0
2013,Reality-TV,0.0
2014,Reality-TV,0.0
2015,Reality-TV,0.0
2016,Reality-TV,0.0
2017,Reality-TV,0.0
2018,Reality-TV,0.0
2019,Reality-TV,0.0
2002,Romance,21.142857142857142
2003,Romance,16.46153846153846
2004,Romance,28.071428571428573
2005,Romance,27.733333333333334
2006,Romance,42.142857142857146
2007,Romance,19.066666666666666
2008,Romance,34.30769230769231
2009,Romance,27.733333333333334
2010,Romance,7.75
2011,Romance,30.428571428571427
2012,Romance,15.11111111111111
2013,Romance,27.75
2014,Romance,17.25
2015,Romance,11.125
2016,Romance,9.0
2017,Romance,4.0
2018,Romance,17.428571428571427
2019,Romance,8.0
2002,Short,0.0
2003,Short,0.0
2004,Short,0.0
2005,Short,0.0
2006,Short,14.0
2007,Short,9.0
2008,Short,0.0
2009,Short,0.0
2010,Short,0.0
2011,Short,0.0
2012,Short,0.0
2013,Short,0.0
2014,Short,0.0
2015,Short,0.0
2016,Short,0.0
2017,Short,0.0
2018,Short,0.0
2019,Short,0.0
2002,Talk-Show,0.0
2003,Talk-Show,0.0
2004,Talk-Show,9.0
2005,Talk-Show,21.0
2006,Talk-Show,0.0
2007,Talk-Show,0.0
2008,Talk-Show,0.0
2009,Talk-Show,0.0
2010,Talk-Show,0.0
2011,Talk-Show,0.0
2012,Talk-Show,0.0
2013,Talk-Show,0.0
2014,Talk-Show,0.0
2015,Talk-Show,0.0
2016,Talk-Show,0.0
2017,Talk-Show,0.0
2018,Talk-Show,9.0
2019,Talk-Show,0.0
2002,Sport,1.0
2003,Sport,43.5
2004,Sport,11.5
2005,Sport,83.5
2006,Sport,17.5
2007,Sport,28.4
2008,Sport,75.5
2009,Sport,10.0
2010,Sport,49.0
2011,Sport,17.0
2012,Sport,93.0
2013,Sport,123.0
2014,Sport,10.0
2015,Sport,3.5
2016,Sport,51.0
2017,Sport,78.0
2018,Sport,5.5
2019,Sport,0.0
2002,Thriller,32.285714285714285
2003,Thriller,47.11764705882353
2004,Thriller,29.941176470588236
2005,Thriller,26.0
2006,Thriller,42.10526315789474
2007,Thriller,41.05263157894737
2008,Thriller,26.2
2009,Thriller,20.0
2010,Thriller,32.05882352941177
2011,Thriller,24.53846153846154
2012,Thriller,48.733333333333334
2013,Thriller,30.25
2014,Thriller,40.0
2015,Thriller,34.22222222222222
2016,Thriller,45.666666666666664
2017,Thriller,48.357142857142854
2018,Thriller,38.25
2019,Thriller,32.2
2002,War,53.0
2003,War,53.5
2004,War,22.0
2005,War,45.0
2006,War,129.0
2007,War,0.0
2008,War,46.5
2009,War,18.5
2010,War,10.0
2011,War,0.0
2012,War,102.0
2013,War,3.0
2014,War,9.0
2015,War,0.0
2016,War,43.0
2017,War,22.0
2018,War,3.0
2019,War,0.0
2002,Western,1.0
2003,Western,0.0
2004,Western,12.666666666666666
2005,Western,45.0
2006,Western,0.0
2007,Western,9.0
2008,Western,27.0
2009,Western,0.0
2010,Western,97.0
2011,Western,39.0
2012,Western,108.33333333333333
2013,Western,0.0
2014,Western,26.0
2015,Western,56.0
2016,Western,57.666666666666664
2017,Western,16.0
2018,Western,0.0
2019,Western,0.0
